Gene	CRH9EOS_d0	CRH9EOS_d1	CRH9EOS_d2	CRH9EOS_d3	CRH9EOS_d7	CRH9EOS_d10	CRH9EOS_d20+E	CRH9EOS_d20+X	ctrl	HNES1_d0	HNES1_d1	HNES1_d2	HNES1_d3	HNES1_d7	HNES1_d10	HNES1_d20+E	HNES1_d20+X
IFFO1	2.107811774	2.229695133	2.523479776	2.326878294	2.409106271	2.405103312	2.188672582	2.172924943	2.242194016	2.568037089	2.584609595	2.538200535	2.285134739	2.611352223	2.94756718	3.09559017	2.979056313
GIPR	0.426367765	0.407306583	0.455705964	0.367157925	0.418934786	0.391058324	0.359509968	0.389569668	0.2519849	0.420720037	0.385083303	0.649780553	0.642562536	0.313747435	0.380041873	0.361307302	0.343438891
PHF7	1.946534836	1.818488989	1.837914374	1.745523885	1.708694763	1.834032797	1.688542693	1.668830989	1.718351094	2.189407681	2.185457941	2.34588836	2.256555769	1.911551986	2.051125418	1.966871859	1.548789653
SEMA3G	0.055727087	0.094245945	0.186447398	0.286012177	0.643962621	0.637822394	0.964587398	0.625759471	0.924201601	0.109900487	0.308581519	0.587236325	0.759789215	1.210641824	1.342206932	1.30636864	0.86918847
NISCH	3.977883865	3.732478925	3.574217739	3.583075738	3.530229279	3.594514551	3.576524459	3.684493986	3.69725185	3.650856193	3.426045785	3.432023079	3.432337337	3.363729115	3.453915532	3.324771328	3.390618513
STAB1	0.360019789	0.261851283	0.315947598	0.265467073	0.228378922	0.347586582	0.39147135	0.346112312	0.357720201	0.419963904	0.358309155	0.350936073	0.36602896	0.311594029	0.371949308	0.664862385	0.342870577
FUZ	2.496109993	2.614100684	2.623280544	2.555816841	2.500252126	2.699186383	2.846556002	3.185040877	2.89659458	2.399500717	2.671693172	2.644244384	2.6283491	2.422022859	2.609256596	2.738085744	2.920591041
SLC6A13	0.444634194	0.093709686	0.064567622	0.053310693	0.028973202	0.053165859	0.021259677	0.017564704	0.0805144	0.169512164	0.040422023	0.044740313	0.010888371	0.035405771	0.07816148	0.09533395	0.082224168
IDS	0.317607893	0.317463403	0.525301388	0.780617145	1.106223787	1.205284908	1.868789081	1.861247545	1.822035185	0.259610361	0.405412028	0.869750064	1.097047429	1.146830863	1.206403395	1.356783386	1.069794507
PRSS3	0.025519698	0.043907057	0.024652433	0	0	0	0.195840739	0	0	0.029561457	0	0	0.026203278	0.066907715	0.165208145	0.50855818	0.252211948
ZNF200	2.210182824	2.269091949	2.110206837	1.905283926	1.771101283	1.651955919	1.562734872	1.964346484	1.222626371	1.950235158	1.886692677	1.681356572	1.51235731	1.650270451	1.727152744	1.540145957	1.960888023
CD4	0.05450077	0.048392429	0.075578341	0.089539151	0.167890275	0.355370239	0.660034581	0.478942719	0.792217834	0.130715616	0.108341282	0.408769812	0.300027246	0.175944697	0.428464272	0.863784654	0.56374739
LRRC23	0.668179179	0.466397961	0.659692899	0.917471566	0.926479271	0.793989758	0.79155504	0.977525973	0.852903093	1.63396951	1.53726611	1.848378213	2.093031302	2.061551647	2.087187274	1.888150766	1.924544601
BTK	2.032942819	1.023191441	0.378806955	0.24112385	0.130227507	0.127981412	0.295686271	0.229908848	0.200309471	1.8429726	0.550873152	0.33220234	0.201979951	0.149667137	0.350386525	0.186033983	0.239359271
HFE	0.043852038	0.038522901	0.096258425	0.109133728	0.278680913	0.310869803	0.394425273	0.326491289	0.449787705	0.070121375	0.031698088	0.056135494	0.098627556	0.172736693	0.243628214	0.410888214	0.274905048
SCMH1	0.963044593	0.990617814	0.835889821	1.017237623	1.465913656	1.634515265	2.114965338	2.181375507	2.550681123	1.695970932	1.601731315	1.569855587	1.553331318	1.576983421	1.925762967	1.954063582	2.148881955
FYN	2.028513321	2.200258989	2.592823158	2.705540648	2.784879951	3.027908333	3.875482986	3.673281704	3.813982221	1.618492276	2.022950532	2.293237373	2.382356858	2.678104547	3.102444017	3.738293102	3.54731553
HIVEP2	0.296493466	0.216912226	0.300533959	0.446253897	1.125453879	1.569406984	2.500616617	2.499635653	2.596997948	0.353231192	0.379627589	0.455752109	0.690057002	1.132624849	1.761736053	2.753332788	2.512967131
FMO1	0.102414369	0.050345424	0.074598094	0.051641564	0.040928343	0.062386274	0.11794203	0.097298533	0.152238902	0.100952324	0.088307754	0.110761392	0.13180774	0.117581641	0.097799453	0.072603248	0.12162116
TCEB3	4.309026913	4.589575683	4.70985922	4.629993173	4.374326734	4.352838122	4.011207516	4.44069439	4.137417436	4.275312557	4.413716104	4.27621145	4.203502799	4.231891566	4.16491666	4.235774011	4.320026086
LYPLA2	4.756843913	5.089776789	5.09307409	5.082051921	4.780502862	4.839987222	4.993728271	5.016380828	4.872078072	4.749398873	5.065777626	4.887959968	4.75591213	4.827250985	4.821702458	4.880070268	4.838019378
CLCN6	2.551398083	2.322607335	2.289539331	2.320365349	2.655958591	2.861903677	2.752638797	2.81665625	2.968708945	2.499487129	2.431968332	2.423234044	2.485248213	2.681347342	2.801151014	2.724552559	3.000937741
MRC2	3.074453073	3.27960027	2.79405389	2.624104565	2.318607944	2.466150502	3.105269022	3.151819356	2.749226317	2.926251873	3.199542562	3.192635602	2.923785871	2.445864839	3.022174992	3.370161457	3.070660479
NME1.NME2	0.623170814	0.428091174	0.308034059	0.39365834	0.177287774	0.162848962	0.310934539	0.167549989	0.476822693	0.539531293	0.281112554	0.332954071	0.288068919	0.124575711	0.181321222	0.491436778	0.18151653
SLC6A7	0.009570195	0.050414284	0.018814934	0.0258316	0.024195349	0	0.010370947	0	0.019234375	0.096719454	0.042318106	0.062891746	0	0.071533371	0.026399086	0.00782276	0.021068954
TSPAN9	2.170621013	2.995099123	3.203025983	3.186860478	2.976366579	2.747500124	2.895890753	2.709796364	2.904305709	2.926177999	3.975800528	4.088081912	4.074815653	3.616563763	3.662022885	3.950258937	3.676959021
BTBD7	2.002532991	1.898925669	1.85695123	1.787456865	2.105887639	2.087639687	2.510030896	2.339697641	2.48618451	2.335012185	1.977052307	1.962983278	1.815185397	2.107962022	2.272516459	2.401106025	2.432423484
APBA3	2.519527638	2.221342971	2.215238051	2.113972065	1.785722534	1.862840023	2.05005736	1.944068354	2.100172849	1.924348394	1.805420961	1.668542924	1.74697481	1.576027557	1.611717108	2.120760242	1.627558066
MKS1	2.417482691	2.689018751	2.687297466	2.642481486	2.324822856	2.484201366	2.335603923	2.626998302	2.375251807	2.769009634	2.990539146	2.783160492	2.793042179	2.522223524	2.373626001	2.072390232	2.441809658
ABHD5	3.155105658	3.057562337	2.74972518	2.567092575	2.553211669	2.40445167	1.99489302	2.335897048	1.933271462	3.041261088	2.632331664	2.272182601	1.977666313	2.321663976	1.986868635	1.727868997	2.253887227
ANOS1	0.522282391	0.839962615	1.401320335	1.477793785	2.376668254	2.967798608	4.47687161	3.712347213	4.70535891	0.393992524	1.062372212	1.073061477	0.816228727	2.004066984	2.693197814	3.272222289	3.407976535
AKAP8L	4.27869176	4.169908783	4.135129371	4.085413217	3.852216745	3.967129354	4.328625685	4.098492953	4.439971295	3.788893331	3.653876655	3.693115058	3.595054058	3.51374411	3.768926979	4.410970276	3.893017712
MBTD1	3.009567493	3.065979831	3.392908887	3.758511705	3.868184355	3.987052076	4.137124858	3.968297076	4.065517723	3.025576292	3.146608609	3.722454783	3.83964989	3.813455016	3.938090855	4.174572976	4.128158513
UTP18	4.978462821	5.004921876	4.965042592	4.980031765	4.937271902	4.980418479	5.09954238	5.059411364	4.982994596	4.977617668	4.919759008	4.79585625	4.804963759	4.979040988	4.963316256	4.935971483	5.023432797
RNF216	3.471142098	3.469759397	3.396337242	3.459826097	3.41905039	3.384958856	3.449743947	3.575398501	3.258529934	3.438082562	3.334410875	3.403883924	3.425237339	3.232668927	3.200323655	3.169565973	3.271712131
TTC19	3.875031529	4.149228457	3.984049917	3.937293427	3.846137784	3.827891679	3.715298862	3.772417776	3.888307024	4.076019572	4.184475511	4.124619792	4.147628755	3.977355399	3.89344545	3.613314723	3.801354823
PTBP1	6.605521966	6.683056451	6.654494163	6.674081873	6.351549011	6.418553875	6.514668725	6.478971295	6.440187613	6.318480529	6.358251338	6.192399916	6.246547898	6.414918921	6.169289831	6.43572277	6.299670851
DPF1	3.397930944	3.207289722	2.807938364	2.764058195	1.978339156	2.411170043	1.704355149	2.499295293	0.907025716	3.28118228	2.983873204	2.651361371	2.412821733	1.669775398	1.539288041	1.370103106	2.324096918
SYT7	1.907217389	1.910854913	2.202997399	2.241568034	1.94428752	1.660048912	1.912888693	1.373309472	2.753223409	2.002327726	1.893681294	2.134241835	2.253503582	2.025459768	2.084766909	1.842072097	1.285960009
LARS2	4.708334905	4.589355479	4.487255361	4.430947279	3.986952549	3.968671231	3.956975225	3.909966064	3.960880677	4.988174705	4.863803622	4.69796223	4.632596503	4.287818315	4.085691086	4.085254196	4.128579094
PIK3C2A	4.186806751	4.480038079	4.712061235	4.832002918	5.154208069	5.181196544	5.290506992	4.963830162	4.985369878	4.357612319	4.650029688	4.789851789	4.821774896	4.869159163	5.026539547	5.014854498	5.229762881
PLAUR	0.487391371	0.407497783	0.524411547	0.808073995	1.374209496	1.075525945	1.631112242	1.320002273	1.594565683	0.386444408	0.381354879	0.566843867	0.5903187	1.376169643	1.428954788	1.554376024	1.307388606
ANLN	5.124234792	5.24329171	5.123927447	5.000435675	5.160585347	4.923852314	5.117040511	4.905434228	5.361083108	5.114236785	5.126092136	5.03484343	5.096343188	5.142717783	5.152882443	5.022189529	4.818061336
WIZ	2.293986608	2.26694237	2.204890199	2.235634914	2.230863147	2.375212747	2.569407727	2.764228743	2.516126227	2.110341622	1.939704578	2.013885403	1.961360672	1.893201057	2.01258538	2.143691597	2.360146303
RABGAP1	2.363885415	2.192308496	2.286160084	2.358879743	2.480423089	2.567563465	2.798919427	2.80914458	2.893806558	2.181432209	2.101745457	2.382227677	2.470902614	2.237560202	2.530374507	2.903782097	2.858870981
DCN	0.067865171	0.05625997	0.049268679	0.017723732	0	0.006163916	0.010302397	0.002924569	0	0.075745853	0.037623825	0.039797111	0.006900121	0.002828963	0.003450063	0.010137698	0
QPCTL	2.363717262	2.480413763	2.550461235	2.534797848	2.451675703	2.687672805	2.813242724	2.7954919	2.885296543	2.042487979	2.487974809	2.821398263	3.025206261	2.577048099	2.841646143	3.14023219	3.14433711
PPP5C	4.28746705	4.137567488	4.033987545	4.025522327	3.77880181	3.841730825	3.847628994	4.021735365	3.795544936	3.985857474	3.762516299	3.624711819	3.664937039	3.413096681	3.367411849	3.6074023	3.805157026
CEP68	0.946090558	0.961550463	1.283213292	1.629277407	2.140569289	2.230715335	2.430896426	2.446899539	2.330601052	1.503960422	1.541253758	1.825803516	1.846503077	2.463705713	2.430078256	2.185236168	2.381202166
MAP4K3	4.14061492	3.95413141	3.960965992	3.777649658	3.707092075	3.707452328	3.943996231	3.467761364	4.291822933	4.346146779	4.098120475	4.081967943	3.998036063	3.85704018	3.961693413	4.824111642	4.115036265
ZBTB32	0.488525242	1.047448132	1.283072646	0.954621929	0.692285166	0.811379329	1.181170247	1.303766538	1.441933725	0.35712073	0.808926058	1.143246287	0.867487913	0.349752739	0.781504867	0.946777894	0.967498389
TYROBP	0.04465267	0.039763256	0.124915332	0.113197834	0.082911101	0.038344414	0.087998627	0.16456561	0.092001396	0.239977884	0.360132993	0.511756744	0.341079955	0.073897171	0.085450488	0.04355578	0.259700466
TMEM159	2.864713789	2.808653084	2.608510462	2.409161731	2.310628375	2.535075959	3.064725806	2.459592081	3.368662447	3.306589392	3.370124364	3.652417017	3.950956674	2.860512712	2.999529244	4.02859881	2.857004648
GABRA3	0.418846968	0.245411208	0.186633815	0.249611653	0.466012962	0.859253141	1.98375197	2.056830973	1.342026957	0.287496023	0.201480459	0.245088108	0.15307634	0.339616449	0.73434441	1.673344704	1.74271262
BRCA1	4.021875652	4.030646914	3.876697011	3.772945459	3.453772855	3.522109948	3.386395785	3.67227505	3.106987608	4.459180028	4.348062031	4.100207861	3.937654166	3.533236899	3.360787843	2.759594778	3.3492424
ERCC1	2.088467072	2.051777692	2.32261763	2.477619963	2.546832482	2.608915517	2.711135931	2.905761737	2.945075384	1.789371896	1.88366576	2.062920615	2.067419886	2.183560915	2.451025851	2.484514542	2.56843539
CD22	0.072790226	0.017332823	0.032017891	0.018167072	0.03735186	0.075857083	0.165429152	0.128461397	0.10114917	0.031506004	0.034160846	0.066000025	0.055884505	0.030330215	0.072197465	0.145748773	0.150998164
SEMA3B	1.258643761	1.504986537	1.618354135	1.980500858	2.437904099	1.896208496	0.82489267	0.989345059	0.751715757	0.752125028	0.767447215	1.018297639	1.398316196	1.983884153	1.830171268	0.879207479	0.988678377
MBTPS2	1.057333456	0.858539388	1.166208789	1.335603687	1.653170811	1.485787141	1.204531453	1.357772763	0.867626627	1.076165309	0.931459814	1.171855067	1.197285395	1.1945926	1.169879435	0.943583754	1.29768377
PRICKLE3	1.532014459	0.723978956	1.155261643	1.405599093	1.59872767	1.76150453	2.200207411	2.035794768	1.803962237	1.499643006	1.151011236	1.521657612	2.007153145	1.726401232	1.791340336	1.408350539	1.335935874
LTF	0.019752905	0	0.026573691	0.079556471	0.142803264	0.184166814	0.184506913	0.144046938	0.019846932	0.055254756	0.154534792	0.156392055	0.234496986	0.428655437	0.554715834	0.835906762	0.750173698
EXTL3	2.946914857	3.526145509	3.665939546	3.797267322	4.034590309	3.874549988	3.953503014	3.944940083	4.113499997	3.087122576	3.815571911	4.033607128	4.153002284	4.389940611	4.556095981	4.236559959	4.021890866
NR1H4	0.012109164	0	0.012015367	0	0.010370947	0	0.012109164	0	0	0	0	0	0.012765233	0	0.0127184	0	0.013420408
ELOVL5	4.790149495	4.675797827	5.122676566	5.15854575	5.275898153	5.493920896	5.543116752	5.189458974	5.640679964	4.732456516	4.951943897	5.272720123	5.448585406	5.105260242	5.190217105	5.407732833	5.31707899
ALOX5	1.1181562	0.946856078	0.348039095	0.33234755	0.330579461	0.324453667	0.703435611	0.31664477	0.708856375	0.65851534	0.755721931	0.849456624	0.877382473	0.4449128	0.604862266	1.197716733	0.449042426
KDM5D	0.031340583	0.038682194	0.019323356	0.031913942	0	0.008283755	0.004594605	0	0	2.963590235	2.992840738	3.018250197	2.931599524	2.813029939	2.941443166	2.872087075	2.828892556
CALCOCO1	1.806067566	1.665172536	1.578347374	1.553980081	1.606675313	1.497760259	1.79855479	1.881566034	1.828676007	1.400286182	1.402262022	1.424478489	1.459243638	1.513955791	1.799450838	1.799427948	1.578780127
UBR7	3.467745991	3.477191114	3.572233122	3.43325899	3.556028928	3.631362154	3.707346396	3.90204016	3.527166604	3.776644206	3.779342544	3.680671404	3.712572906	3.541609254	3.602860472	3.502143564	3.650377522
MAP4K5	2.428953362	2.474357515	2.567540787	2.631071466	2.764265575	2.735236403	2.88335577	2.794945633	2.809962112	2.679085236	2.722067178	2.658333381	2.854742952	2.750514983	2.822812583	2.693813683	3.0723897
EHD3	1.115497031	1.384439091	1.814449363	2.449617787	2.611358423	2.495863526	2.781566736	2.72410457	2.48208556	1.080141515	1.237690933	1.424704044	1.583439392	3.307063309	2.942373532	2.513757196	2.523788395
PSMC4	6.787449025	7.44328318	7.381044911	7.294239979	6.281853283	6.091839114	5.751839524	6.283840188	5.350877299	6.618270532	6.805899447	6.368367077	6.342417152	6.41981617	5.974128673	5.302048308	6.063122743
MAN2B2	2.205553282	1.580865596	1.435155848	1.563359702	1.421235737	1.118410576	1.293556774	1.137818534	1.190908969	1.800717847	1.334608697	1.628869472	1.649071015	1.42893912	1.417240932	1.274312371	0.919073656
SLC7A14	0.020166337	0.003497806	0.003545545	0.011086195	0.021506464	0.077000719	0.347019144	0.187906422	0.406187311	0.004213394	0	0	0.016745232	0.019078493	0.056391898	0.58078168	0.497245498
CLDN11	0.088698233	0.084453734	0.090242237	0.06779689	0.208521966	0.302609031	1.157606964	0.24570018	0.970107902	0.088907066	0.028627081	0.132132655	0.219949945	0.248565011	0.571980891	2.145648208	0.722809447
SLC25A39	6.29661664	6.202769724	5.980822696	5.790219968	5.247491967	5.273548113	5.224663772	5.247243499	5.369364269	6.112352626	6.083802313	5.775919077	5.686906583	5.52268466	5.324036296	5.289472477	5.016877333
MVP	2.532331747	1.716214319	1.010630419	0.695578582	0.519843232	0.619187297	1.131326634	0.858233097	2.02275138	2.1458428	1.912879015	1.873249153	1.664683939	0.597866394	0.676159891	1.431083664	0.673861687
NUB1	3.022315985	2.981116596	3.158744947	3.16123932	3.373259895	3.334175183	3.553002878	3.561932826	3.593283514	3.172843695	3.208141649	3.274536894	3.207373282	3.415473782	3.491913492	3.099492653	3.154905286
PGM3	3.4421196	3.433062468	3.425646676	3.37990815	3.541776896	3.474615194	3.499722843	3.444317444	3.656798337	3.080343784	3.056032937	3.038015017	3.101757199	3.099397727	3.374716174	3.614049215	3.491879726
RWDD2A	0.847736002	0.759000808	0.861491248	0.992674252	1.24805809	1.266582666	1.594632483	1.341226636	1.545134014	0.861045709	0.940460173	1.07838595	1.098836903	1.074234488	1.443858408	1.599061019	1.472308852
CLK1	3.759177631	3.43914839	3.458730425	2.729500808	2.697085649	2.644073018	2.80702474	2.610447257	3.601815715	3.84244263	3.16363274	2.929143997	2.777654881	2.700143482	2.961415127	3.291096624	2.734827323
POLR3B	3.040071716	2.997334973	3.090329332	3.104781892	3.12264382	3.128316043	2.631447946	3.103043176	1.904615088	3.370094814	3.336808284	3.106136994	2.988562729	3.248335724	3.110327458	2.205614124	3.263943819
ANGEL1	2.444500721	2.631339774	2.656942453	2.647900333	2.442604682	2.586110553	3.108812297	2.833847492	3.146769384	2.662079914	2.861051275	2.986066508	3.155964913	2.558754295	2.544078342	3.176437413	2.663814921
RNF14	3.441316345	3.454820766	3.206186716	3.033398524	2.840208694	2.608101119	2.316258517	2.544775587	2.466127786	3.685249152	3.592163837	3.477128971	3.26181527	2.727434532	2.802967103	2.191903703	2.560097873
DNASE1L1	0.608310968	0.605088564	0.843679965	0.984698404	1.018459273	0.942462162	1.421411001	1.290919708	1.351235286	0.605452902	0.845959677	1.322084632	1.306330642	1.297528969	1.239414834	1.453275968	1.196839198
DDX11	2.94401167	3.063020091	2.963663011	2.970263829	2.995445635	3.182988717	3.313234003	3.442029878	3.452504818	2.96891763	3.059450582	3.008407294	2.886707757	2.892128997	3.079776829	3.331630777	3.389216569
HEBP1	0.477019461	0.426648938	0.687916932	0.998427306	0.92408774	1.016220283	1.28308182	0.999309343	1.556381032	0.941778782	0.985075831	1.333708744	1.497805464	1.378083059	1.26460019	1.898192953	1.527211178
GPRC5A	3.920275024	2.865379713	2.81269203	3.061229317	2.561415847	0.940248639	0.191074527	0.219214888	0.217479986	3.504437376	3.224901522	3.27531393	3.844956145	4.020973023	2.352843809	0.767618311	0.802514647
MAMLD1	0.013654183	0.012671563	0.013934563	0.03820659	0.037484257	0.061157717	0.057113549	0.097880206	0.155124354	0.059403037	0.014027986	0.098668083	0.122711873	0.123412655	0.089694255	0.041949131	0.024025752
CD6	0.048893511	0.01243731	0	0.013087152	0.013086703	0.013087152	0.044013893	0.006306327	0.101543457	0.031320014	0.00810656	0.021029571	0.007775444	0.025389006	0.006068952	0.055846755	0.015566862
TACC3	4.206421155	4.104323682	4.015175307	4.170466436	3.976504271	4.19894083	4.182630279	4.264461015	4.464299293	3.860441405	3.711109437	3.79143802	3.934579528	4.240568484	3.925469078	4.224101248	3.923005386
UFL1	2.973423686	3.212087753	3.350081712	3.378312524	3.106486176	3.106120173	2.871856496	3.252415772	3.368063633	3.256927075	3.564872046	3.68487332	3.692958621	3.085558071	3.20832541	3.191976306	3.352708794
POLA2	2.944329301	2.80448313	2.704393426	2.706681496	2.617506627	2.658805828	2.713050834	2.75683492	2.850518596	3.108965491	3.030866114	2.992079594	2.947006133	2.782737019	2.685257193	2.388999607	2.405568852
ZC3H3	2.74956821	2.680686378	2.586214045	2.586736512	2.491231386	2.563810419	2.444344442	2.634507304	2.515085746	2.685842369	2.576663332	2.524603624	2.496404332	2.551792377	2.439433003	2.575831081	2.59271548
CAPN1	3.653612456	3.517653779	3.628726704	3.830118498	3.954613637	4.336578986	4.1543451	4.569696846	4.147633659	4.075032511	4.069332439	3.98654928	3.985895226	4.15244718	4.298029356	4.593772995	4.512575974
ACPP	0.567099166	1.075849286	0.717383545	0.407957629	0.222248851	0.423232268	0.506121448	0.58459473	0.368019139	0.335353219	1.653849709	1.273528518	0.956291179	0.211040173	0.335541066	0.673569917	0.41603662
MDH1	5.265602053	5.042278974	5.058927106	5.164950962	5.218926817	5.202582716	5.245373794	5.029898196	5.587559722	5.612139113	5.395293644	5.413388216	5.327065844	5.332253547	5.294580351	5.441576965	5.212141132
SLC30A9	3.185203415	3.118021205	3.239353964	3.494107581	3.860488023	3.909969958	4.000299786	4.094862388	4.021533054	3.598162036	3.578536244	3.735643499	3.754232147	3.644887568	3.732911747	4.046871796	4.189722215
MTMR11	0.81346827	1.34682308	1.427525251	1.157579251	0.98861165	0.900333488	1.028082082	1.038675856	1.375475049	0.914481902	1.357297686	1.619503696	1.80985416	1.118302024	1.126111004	1.041745222	0.831102068
COX15	3.365418563	3.207909296	3.265608152	3.459433937	3.566633421	3.653244432	3.641285473	3.775420418	3.782931698	3.767511138	3.579644855	3.552482932	3.630883725	3.457779537	3.520624704	3.613397669	3.64069017
CCDC88C	1.568008203	1.877683229	1.982212188	2.313734103	2.76896758	2.805402821	3.218998898	2.93069762	3.376202784	2.244337314	2.60371922	2.628431943	2.574460116	2.773609366	2.875704673	3.156176559	2.812944493
YAF2	0.147082845	0.093563601	0.07365373	0.045221511	0.032770764	0.0352736	0.0641696	0.048680355	0.123818726	0.101148266	0.086953275	0.087726898	0.080762097	0.029124726	0.121907633	0.022708029	0.058460502
ZMYND11	2.079865228	2.522391639	2.553960408	2.625804657	2.950668046	2.869063472	2.800609422	3.071952267	3.215960883	2.456492115	2.57441043	2.511475885	2.392388618	2.593530454	2.688981573	2.366932896	3.036801283
WAS	0.167645436	0.162569389	0.161129604	0.106057973	0.183256922	0.310354474	0.616064958	0.680972605	0.449867279	0.456529086	0.275419139	0.215486192	0.174731781	0.099077716	0.171389242	0.270916948	0.22677303
DPEP1	0.132029645	0.153795543	0.043254689	0.094035602	0.208354254	0.373659313	1.102647484	0.923118092	1.857651277	0.226878403	1.176391787	1.32486688	1.042978176	0.43487666	1.053052585	0.731431267	0.992744085
BID	1.176569263	1.59128479	1.565881272	1.878805327	2.111473098	2.394217379	2.936120362	2.507711334	2.826295581	1.762881562	1.894268861	1.74527135	1.76141952	2.258963809	2.270232318	2.788895833	2.468180195
MATR3	1.007857759	1.158592222	1.196032262	1.189005381	1.242672108	1.239218501	1.373024506	1.272282442	1.698101851	1.247016084	1.232445711	1.497920177	1.307834663	1.165085069	1.361628807	1.541025328	1.320176275
NPC1L1	0.008248397	0.013794393	0	0	0.027405019	0.006828141	0.016404178	0.03945971	0.058601708	0.027247646	0	0.015985702	0.016733114	0.029347464	0.105805877	0.043940827	0.02653873
XYLT2	3.36378303	3.448609423	3.673027551	3.816962118	3.59899887	3.711915182	4.011766778	4.024083165	3.853049879	3.494526314	3.910832677	4.167922273	4.249587328	3.641132121	3.737304801	3.836936987	3.585821965
STMN4	0.0127184	0	0.012624722	0.056140582	0.090329132	0.151032478	0.113125901	0.191059828	0.038832614	0	0	0	0	0.04481301	0.160722158	0.049242486	0.118911567
NUDCD3	3.001919352	3.041495155	3.011314792	3.1107999	3.109588882	3.048597076	3.118147274	3.38644105	3.177682444	3.143317036	3.099684341	3.198524131	3.272258669	3.039361363	3.201122428	3.12132517	3.210936562
ISL1	2.759236212	1.462509192	1.406026234	1.012389711	0.287737199	0.197003677	0.072075988	0.357936227	0	1.816805799	1.686854089	1.441115282	1.127018306	0.513887107	0.579065425	0.157288353	0.148489847
CHDH	1.15299182	1.396000353	1.380851874	1.449669984	1.495345932	1.598549446	1.497437222	1.762130672	1.287173196	1.193598144	1.461498283	1.579613071	1.402463003	1.262385391	1.491328467	1.069041402	1.511500347
IL20RA	0	0.015287433	0.00782276	0	0.181456987	0.206362933	0.419842411	0.22345123	0.336431283	0	0	0.010418008	0.018259677	0.142308266	0.274290346	0.586944471	0.320590727
CLCA1	0	0.011123379	0	0	0.02323148	0.010700281	0	0	0	0	0	0	0.012999326	0.023465711	0.167382618	0	0.029082097
CLCA4	0.012156056	0	0	0	0.010418008	0.011405238	0.024687081	0	0.038073743	0	0	0.013841121	0	0	0	0.021774903	0
GLT8D1	3.242005365	3.142812519	3.377823725	3.391583059	3.4257553	3.296308751	3.410478526	3.417555522	3.317361302	3.325063083	3.431993157	3.432487796	3.430309659	3.295047278	3.31603324	3.235870084	3.371936542
ATP2C1	3.771880632	3.532896239	3.537775944	3.434490811	3.47023987	3.497271621	3.525050253	3.50857516	3.730566065	3.54336166	3.460254978	3.521973236	3.579778659	3.404489285	3.414977271	3.649408511	3.679804492
IGF1	0.111057888	0.17070457	0.168002665	0.191373379	0.176820636	0.121615447	0.05363037	0.074089389	0	0.251275324	0.335374819	0.505431845	0.362848727	0.209531737	0.19181814	0.036013101	0.012577876
SLC38A5	0.1396919	0.080811755	0.245210422	0.466714104	1.18994714	1.758579422	3.066693536	3.326076357	2.660869023	0.279321327	0.243236528	0.346708444	0.405316543	0.81706449	1.145296203	2.281807205	2.707655691
RALBP1	4.663129046	4.667842308	4.443830974	4.412799984	4.474616641	4.241864158	4.460825531	4.342702779	4.651307418	4.615702847	4.508428276	4.426018771	4.380412968	4.435906692	4.387192346	4.622770231	4.316541821
RUFY3	2.673000413	2.63952531	2.520735033	2.376092162	2.34916846	2.213365487	2.703632433	2.660004633	2.832480034	2.718138203	2.683831376	2.650324233	2.682772846	2.300816154	2.34423614	2.500536001	2.452011359
CNTN1	0.005783947	0.04887648	0.204900348	0.306368254	0.878744568	1.677195486	2.118173757	2.507153252	1.642726654	0.005878968	0.02482613	0.049466345	0.185889753	0.492209731	1.286785111	2.827646605	2.679971831
SLC11A1	0.126625533	0.119773424	0.084885312	0.065020281	0.054730842	0.035610256	0.078118108	0.073784271	0.083680386	0.144385774	0.115033918	0.074044075	0.105298322	0.040785396	0.060755891	0.053343749	0.04676596
WWTR1	1.786829044	1.201439366	1.479316516	1.727618549	1.77999556	1.725071797	1.538588604	1.583303231	1.907471493	1.542491642	1.3029995	1.746837055	2.042226859	1.702790529	1.642995791	1.827846406	1.701988913
AGPS	2.752961505	2.806295299	3.052640899	3.162699899	3.556494976	3.584640982	3.572872532	3.655573282	3.303104502	3.329337505	3.530337007	3.649254971	3.649389762	3.839750163	3.787215268	3.234455289	3.723711116
CXorf56	4.206384487	4.411788221	4.326617416	4.390788828	4.20930103	4.032120842	4.066062278	4.495314404	3.26496118	3.727985855	3.721951585	3.543980592	3.345410302	3.572996974	3.475626141	3.400041272	3.542796451
ATP1A2	0.032440851	0.029141574	0.13793371	0.166220333	0.686720123	1.348444102	2.923930866	1.686938683	3.655838022	0.030925175	0.066601418	0.148587739	0.229675437	0.465668853	1.049081979	2.019085731	1.657594843
TTC27	4.161377721	4.196007968	4.253759436	4.38008747	4.234291241	4.105198769	4.110750806	3.945311476	3.833515786	4.351569658	4.541312925	4.677140851	4.627902887	4.332544705	4.097698201	3.984791454	3.987495146
ZNF582	1.913220566	1.924409365	1.943332724	1.835737611	1.731688308	1.739870503	1.476910043	1.779456163	0.427908023	1.668328591	1.436033126	1.356975297	1.367238846	1.459229924	1.304364054	1.280095904	1.730397797
VSIG2	1.082188052	0.904077952	1.23901459	1.448281492	1.077092148	0.864678084	0.117469355	0.701984407	0	0.820008242	1.292795063	1.420683955	1.462506325	1.356397355	1.414112597	0.289457698	1.139620284
